@relation 'matches-weka.filters.unsupervised.attribute.Remove-R1-38-weka.filters.unsupervised.attribute.Remove-R18,36-weka.filters.unsupervised.attribute.Remove-R16,33-weka.filters.unsupervised.attribute.Remove-R11-12,27-28-weka.filters.unsupervised.attribute.Remove-R7,21-weka.filters.unsupervised.attribute.Remove-R9,22'

@attribute home_shotsOnGoal numeric
@attribute home_shotsOffGoal numeric
@attribute home_totalShots numeric
@attribute home_blockedShots numeric
@attribute home_shotsInsideBox numeric
@attribute home_shotsOutsideBox numeric
@attribute home_cornerKicks numeric
@attribute home_offsides numeric
@attribute home_goalkeeperSaves numeric
@attribute home_totalPasses numeric
@attribute home_accuratePasses numeric
@attribute home_expectedGoals numeric
@attribute away_shotsOnGoal numeric
@attribute away_shotsOffGoal numeric
@attribute away_totalShots numeric
@attribute away_blockedShots numeric
@attribute away_shotsInsideBox numeric
@attribute away_shotsOutsideBox numeric
@attribute away_cornerKicks numeric
@attribute away_offsides numeric
@attribute away_goalkeeperSaves numeric
@attribute away_totalPasses numeric
@attribute away_accuratePasses numeric
@attribute away_expectedGoals numeric
@attribute resultado {'Away Win','Home Win',Draw}

@data
10,10,23,3,16,7,6,1,2,529,465,3.22,5,5,15,5,10,5,5,3,4,405,343,1.79,'Home Win'
2,7,16,7,13,3,7,2,3,322,200,1.42,3,10,15,2,8,7,4,4,2,424,298,0.77,Draw
6,3,11,2,7,4,2,6,5,326,256,1.21,6,6,13,1,9,4,8,2,5,474,406,1.64,Draw
5,6,15,4,11,4,3,4,1,373,270,1.15,3,6,11,2,8,3,4,0,5,496,396,1.73,'Away Win'
6,2,10,2,6,4,2,3,4,484,396,1.95,7,3,10,0,7,3,1,1,2,298,201,1.47,'Home Win'
3,6,10,1,5,5,6,4,1,442,364,0.6,1,1,2,0,0,2,7,5,2,311,215,0.04,'Home Win'
4,1,8,3,6,2,5,6,3,382,294,0.74,5,4,13,4,9,4,4,1,2,395,293,1.36,Draw
2,6,9,1,5,4,1,1,4,404,294,0.59,4,5,9,0,0,9,2,2,2,385,270,0.26,Draw
9,4,18,5,15,3,9,0,0,365,294,2.22,1,7,10,2,10,0,4,2,4,421,344,1.78,'Home Win'
2,8,13,3,8,5,7,2,1,499,414,0.94,3,2,5,0,4,1,2,5,2,443,348,1.44,'Away Win'
5,2,10,3,7,3,7,6,2,246,152,0.79,4,5,10,1,6,4,2,1,3,584,497,1.89,Draw
7,7,18,4,12,6,5,2,2,316,242,1.78,3,6,13,4,8,5,7,2,6,517,441,0.88,Draw
3,6,14,5,11,3,5,4,3,461,409,1.91,5,9,17,3,13,4,6,0,2,405,356,2.15,'Away Win'
2,4,9,3,3,6,0,3,0,354,259,0.37,1,1,2,0,1,1,2,2,2,604,514,0.18,'Away Win'
9,3,21,9,17,4,7,6,2,572,507,1.76,2,8,16,6,7,9,2,2,7,650,593,0.72,'Home Win'
0,4,8,4,3,5,2,0,8,390,309,0.56,11,7,21,3,16,5,8,2,0,443,380,2.7,Draw
5,9,17,3,12,5,1,0,1,361,281,2.92,4,10,19,5,17,2,5,4,2,375,297,2.89,Draw
9,7,18,2,14,4,5,2,2,733,639,2.76,4,3,8,1,4,4,3,0,6,303,216,0.84,'Home Win'
4,5,18,9,16,2,13,1,3,467,402,2.43,3,8,12,1,9,3,3,3,4,313,241,1.11,'Home Win'
7,4,15,4,12,3,5,5,2,498,432,1.62,2,7,9,0,5,4,3,2,4,399,319,0.66,'Home Win'
9,11,22,2,12,10,6,2,0,466,396,0.83,0,2,3,1,2,1,4,1,9,269,187,0.14,Draw
3,8,13,2,7,6,1,?,4,552,499,1.59,7,3,14,4,10,4,4,?,3,519,468,2.38,'Away Win'
3,6,17,8,9,8,4,5,1,352,259,1.5,3,5,10,2,5,5,2,1,3,443,354,1.12,'Away Win'
5,1,8,2,5,3,5,2,3,400,304,1.45,3,10,18,5,14,4,7,2,2,375,281,1.82,'Home Win'
5,4,16,7,8,8,4,2,2,726,649,1.7,3,5,11,3,8,3,5,2,4,254,177,1.54,'Home Win'
5,9,19,5,9,10,5,1,2,496,406,2.3,4,3,9,2,8,1,0,2,3,328,219,1.47,Draw
